text,meta,spans,label,accept,_input_hash,_task_hash
"As multiple sexual allegations come to light with people like <OTHER TARGET 1>, NPR’s -JOHN DOE-, and Michael Fallon, just to name a few...","{'tweet_id': '926127519996284930', 'mask_map': {'<TARGET 1>': 'Brett Ratner', '<TARGET 2>': 'Michael Oreskes'}, 'pattern_match': True, 'target_label': '<TARGET 2>', 'target': 'Michael Oreskes'}","[{'start': 86, 'end': 96, 'label': 'TARGET', 'target': '<TARGET 2>'}]",1,[1],988241343,-1705654849
Matt Damon and -JOHN DOE- are trash,"{'tweet_id': '918550792159809536', 'mask_map': {'<TARGET 1>': 'Ben Affleck'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Ben Affleck'}","[{'start': 15, 'end': 25, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],50425953,-794092664
Thought we all knew tht -JOHN DOE- is a narcissistic asshole??,"{'tweet_id': '930519051985702912', 'mask_map': {'<TARGET 1>': 'Jesse Lacey'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Jesse Lacey'}","[{'start': 24, 'end': 34, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-234698601,1324554293
-JOHN DOE- you disgusting pig!,"{'tweet_id': '930239315082276865', 'mask_map': {'<TARGET 1>': 'Tom Sizemore'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Tom Sizemore'}","[{'start': 0, 'end': 10, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-327785023,-1391804760
Breaking #FoxNews Alert : Amazon executive -JOHN DOE- suspended as sexual harassment accusations surface,"{'tweet_id': '918635828649316357', 'mask_map': {'<TARGET 1>': 'Roy Price'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Roy Price'}","[{'start': 43, 'end': 53, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-1026344183,-1981569558
"The more stories of sexual assault I hear, the more I fear raising a child in today's world. #<OTHER TARGET 1> #<OTHER TARGET 2> #-JOHN DOE- #Trump #Oreilly","{'tweet_id': '924992513458311168', 'mask_map': {'<TARGET 1>': 'Harvey Weinstein', '<TARGET 2>': 'Kevin Spacey', '<TARGET 3>': 'James Toback'}, 'pattern_match': True, 'target_label': '<TARGET 3>', 'target': 'James Toback'}","[{'start': 130, 'end': 140, 'label': 'TARGET', 'target': '<TARGET 3>'}]",1,[1],-1151180507,-1455573676
"In -JOHN DOE-’s worldview, REAL men drug and violently rape women like he does. As a writer, he’s done. But he might have a future in the GOP…","{'tweet_id': '926540029626810369', 'mask_map': {'<TARGET 1>': 'Michael Hafford'}, 'target_label': '<TARGET 1>', 'target': 'Michael Hafford'}","[{'start': 3, 'end': 13, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-1217762233,176860754
im just reading about -JOHN DOE- and i cant believe garbage created something that changed my life and gave me so much happiness,"{'tweet_id': '929925627104387072', 'mask_map': {'<TARGET 1>': 'Mark Schwahn'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Mark Schwahn'}","[{'start': 22, 'end': 32, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-1919377834,-275933904
"-JOHN DOE- and <OTHER TARGET 1> and their ilk and all the enablers fucked up women's lives and they should all, you know, just eat shit and","{'tweet_id': '925224643493027840', 'mask_map': {'<TARGET 1>': 'Hamilton Fish', '<TARGET 2>': 'Leon Wieseltier'}, 'pattern_match': True, 'target_label': '<TARGET 2>', 'target': 'Leon Wieseltier'}","[{'start': 0, 'end': 10, 'label': 'TARGET', 'target': '<TARGET 2>'}]",1,[1],2145010055,-70296496
"“We are seeing a difference in basic, fundamental, moral, values.” #-JOHN DOE- is literally in prison for sexting a child. Where's the @GOP outrage? #<OTHER TARGET 3>ChildMolester URL","{'tweet_id': '928996025057947650', 'mask_map': {'<TARGET 1>': 'Matthew Weiner', '<TARGET 2>': 'David Corn', '<TARGET 3>': 'Roy Moore'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Matthew Weiner'}","[{'start': 68, 'end': 78, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-2025667388,1929703544
"Sexual predators <OTHER TARGET 3>, <OTHER TARGET 2>, -JOHN DOE- all lose jobs. Meanwhile, sexual predator @realDonaldTrump still has his.","{'tweet_id': '925767421616631808', 'mask_map': {'<TARGET 1>': 'Mark Halperin', '<TARGET 2>': 'Harvey Weinstein', '<TARGET 3>': 'Michael Oreskes'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Mark Halperin'}","[{'start': 53, 'end': 63, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-1739364304,-477258533
Firing -JOHN DOE- doesn't even meet the bare minimum for DC Comics now. Everyone who enabled it and kept him employed for years after knowing must be fired as well.,"{'tweet_id': '929782143219372034', 'mask_map': {'<TARGET 1>': 'Eddie Berganza'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Eddie Berganza'}","[{'start': 7, 'end': 17, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-583041854,-233845593
"Hard to believe that -JOHN DOE-, a person who’s public persona is a mentally ill pervert, is actually a mentally ill pervert.","{'tweet_id': '925406771308621824', 'mask_map': {'<TARGET 1>': 'Andy Dick'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Andy Dick'}","[{'start': 21, 'end': 31, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],1811790659,-2099898700
Imagine the locker room talk between @-JOHN DOE- and #<OTHER TARGET 2>. #WeinteinIsARapist #-JOHN DOE-IsARapist #-JOHN DOE-,"{'tweet_id': '918509384711507969', 'mask_map': {'<TARGET 1>': 'Ben Affleck', '<TARGET 2>': 'Harvey Weinstein'}, 'pattern_match': False, 'target_label': '<TARGET 1>', 'target': 'Ben Affleck'}","[{'start': 38, 'end': 48, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-69914600,-734073857
"In looking at a former NPR staffer's tweets, it appears that HR was made aware of -JOHN DOE- as predator quite some time ago.","{'tweet_id': '926235583256678401', 'mask_map': {'<TARGET 1>': 'Michael Oreskes'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Michael Oreskes'}","[{'start': 82, 'end': 92, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],1025478230,-1255548534
-JOHN DOE- sucked in Daredevil anyways,"{'tweet_id': '918359215353335809', 'mask_map': {'<TARGET 1>': 'Ben Affleck'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Ben Affleck'}","[{'start': 0, 'end': 10, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-2038619879,353338113
I mean comics obviously doesn't care about sexual harassment at all - they never have. -JOHN DOE- has been around for ages.,"{'tweet_id': '929546077082075138', 'mask_map': {'<TARGET 1>': 'Eddie Berganza'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Eddie Berganza'}","[{'start': 87, 'end': 97, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-211399003,-1897148218
This guy condemned <OTHER TARGET 2> then posted this on -JOHN DOE-. URL,"{'tweet_id': '929502308731375616', 'mask_map': {'<TARGET 1>': 'George Takei', '<TARGET 2>': 'Roy Moore'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'George Takei'}","[{'start': 56, 'end': 66, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-1120419629,1049423333
How bad are Democrats who won't even say that they'll make Senator <OTHER TARGET 1> step down if he's found guilty? The accusations against -JOHN DOE- are coming on the heels of multiple leftist Dem and libs being found guilty of sexual assault and rape. You're a hypocrite!,"{'tweet_id': '929228527869636608', 'mask_map': {'<TARGET 1>': 'Tony Mendoza', '<TARGET 2>': 'Roy Moore'}, 'pattern_match': True, 'target_label': '<TARGET 2>', 'target': 'Roy Moore'}","[{'start': 140, 'end': 150, 'label': 'TARGET', 'target': '<TARGET 2>'}]",1,[1],-493823800,1162969159
"wait, are hilarie and sophia implying that thread from a tv writer yesterday that kept thing vague was about <OTHER TARGET 1>? if so, pretendsto-JOHN DOE-ocked","{'tweet_id': '929915896025567234', 'mask_map': {'<TARGET 1>': 'Mark Schwahn', '<TARGET 2>': 'John Besh'}, 'pattern_match': True, 'target_label': '<TARGET 2>', 'target': 'John Besh'}","[{'start': 144, 'end': 154, 'label': 'TARGET', 'target': '<TARGET 2>'}]",0,[0],-70689832,1236201866
Papi ng -JOHN DOE- ko😍 hahaha miss youuuu! Play na please :(( URL,"{'tweet_id': '922116111742648320', 'mask_map': {'<TARGET 1>': 'John Besh'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'John Besh'}","[{'start': 8, 'end': 18, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-797917881,-1956398720
Everyone in Hollywood knows -JOHN DOE- is an asshole . Well known fact on the set of heat his co - stars threatened an ass whooping he wasn't doing so much coke . Plus Heidi Fleiss,"{'tweet_id': '930243195224682497', 'mask_map': {'<TARGET 1>': 'Tom Sizemore'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Tom Sizemore'}","[{'start': 28, 'end': 38, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],605477811,941570407
-JOHN DOE- after Natasha Prince accused him of rape URL,"{'tweet_id': '921139837087907841', 'mask_map': {'<TARGET 1>': 'David Blaine'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'David Blaine'}","[{'start': 0, 'end': 10, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],614325173,-890563363
"""-JOHN DOE-"" probably shouldn't have used his porn name at work, just for starters.","{'tweet_id': '921356554212990976', 'mask_map': {'<TARGET 1>': 'Lockhart Steele'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Lockhart Steele'}","[{'start': 1, 'end': 11, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-759458769,-1740578425
"NPR: Aly Raisman joins more than 125 women who have alleged abuse by -JOHN DOE-, who is in jail awaiting sentenc… URL","{'tweet_id': '929076036721168384', 'mask_map': {'<TARGET 1>': 'Larry Nassar'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Larry Nassar'}","[{'start': 69, 'end': 79, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-2034734611,855550283
-JOHN DOE- really?! I wonder whose the next celebrity is going to be? #sooverthis,"{'tweet_id': '925774620573224960', 'mask_map': {'<TARGET 1>': 'Dustin Hoffman'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Dustin Hoffman'}","[{'start': 0, 'end': 10, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-1458367394,-2134409710
"The -JOHN DOE- and <OTHER TARGET 2> sexual harassment scandals show how men - yes, it's mostly men - take advantage of the talent via powertripping","{'tweet_id': '922969612035284993', 'mask_map': {'<TARGET 1>': 'Harvey Weinstein', '<TARGET 2>': 'James Toback'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Harvey Weinstein'}","[{'start': 4, 'end': 14, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],1247610016,-2072537911
-JOHN DOE- is da bomb,"{'tweet_id': '930466495724863489', 'mask_map': {'<TARGET 1>': 'Jesse Lacey'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Jesse Lacey'}","[{'start': 0, 'end': 10, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],333346730,1453336317
Some woman has been saying that -JOHN DOE- was sexually harassing her but it smells extremely fishy! All parties have released statements and it would appear nobody knows what happened and the woman won’t say.,"{'tweet_id': '930521753100738562', 'mask_map': {'<TARGET 1>': 'Vince Ingenito'}, 'target_label': '<TARGET 1>', 'target': 'Vince Ingenito'}","[{'start': 32, 'end': 42, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],955035166,-584192626
"Some people dont understand how important it is to say SORRY. I mean, is it that hard?? Adjust tayo minsan mga -JOHN DOE- ✨","{'tweet_id': '921691998007857153', 'mask_map': {'<TARGET 1>': 'John Besh'}, 'pattern_match': False, 'target_label': '<TARGET 1>', 'target': 'John Besh'}","[{'start': 111, 'end': 121, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-2106143965,-1535513909
... beyond their own will to power. It is much the same in the entertainment industry. 4/4 #<OTHER TARGET 1> #<OTHER TARGET 3> #-JOHN DOE- #youknowwhoyouare,"{'tweet_id': '922566010372157440', 'mask_map': {'<TARGET 1>': 'Harvey Weinstein', '<TARGET 2>': 'Tyler Grasham', '<TARGET 3>': 'James Toback'}, 'pattern_match': True, 'target_label': '<TARGET 2>', 'target': 'Tyler Grasham'}","[{'start': 128, 'end': 138, 'label': 'TARGET', 'target': '<TARGET 2>'}]",1,[1],-505535076,-1071185026
What about the -JOHN DOE- Weather Report?,"{'tweet_id': '925840892518371328', 'mask_map': {'<TARGET 1>': 'Dustin Hoffman'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Dustin Hoffman'}","[{'start': 15, 'end': 25, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],602299366,282421623
"Not surprised by -JOHN DOE- allegations. His rationale of Alex spitting up with Maggie reeked of not respecting women. The “Oh, I love you but you won’t have my babies so bye.” is such an asshole move. If he steps down, can we get Sanvers back? 😐","{'tweet_id': '929403938872446980', 'mask_map': {'<TARGET 1>': 'Andrew Kreisberg'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Andrew Kreisberg'}","[{'start': 17, 'end': 27, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-907582021,1102375847
i saw -JOHN DOE- is trending n thought he died.. 🚶🏿,"{'tweet_id': '925768957465907200', 'mask_map': {'<TARGET 1>': 'Dustin Hoffman'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Dustin Hoffman'}","[{'start': 6, 'end': 16, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],2023113969,178795666
"I agree, it's too late. It's inadequate. I'm not clapping. But in my mind it's better than a denial and a vow to destroy his accusers. Y'know, like Trump, <OTHER TARGET 2>, -JOHN DOE-.","{'tweet_id': '929348411618406406', 'mask_map': {'<TARGET 1>': 'Jeremy Piven', '<TARGET 2>': 'Roy Moore'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Jeremy Piven'}","[{'start': 173, 'end': 183, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-1954209059,2039362728
"They drop this shit whenever Mueller has a new batch of indictments (Uranium One, The DNC/Bernie Mess and now -JOHN DOE- allegations.)","{'tweet_id': '926416874962804738', 'mask_map': {'<TARGET 1>': 'David Corn'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'David Corn'}","[{'start': 110, 'end': 120, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],1210467,-1879088965
