,Joe,Nour,Jillian,joe-nour-diff,joe-jillian-diff,jillian-nour-diff,rowwise_std,text
2123440393,1.0,6.0,7.0,5.0,6.0,1.0,3.214550253664318,Are you taking off -JOHN DOE- chasing people around the room naked or bob who simply ask a girl out 1 too many times?
-807255547,1.0,6.0,7.0,5.0,6.0,1.0,3.214550253664318,"Please don't let -JOHN DOE- be a nonce aswell, I'm running out of people to look up to"
139041592,3.0,8.0,8.0,5.0,5.0,0.0,2.8867513459481287,"“I’m going to rape you like I rape my daughter,” is what #-JOHN DOE- told his victims."
710916188,3.0,4.0,8.0,1.0,5.0,4.0,2.6457513110645907,"Somebody was putting -JOHN DOE- in a movie? They should just call that shit off, gonna break the tomato meter."
-890918614,1.0,5.0,6.0,4.0,5.0,1.0,2.6457513110645907,Saw -JOHN DOE- in the trends...knew exactly what that was going to be about.
856399650,2.0,3.0,7.0,1.0,5.0,4.0,2.6457513110645907,BREAKING: -JOHN DOE- Dropping Out Of Alabama Senate Race; State GOP Leaders Pick <OTHER TARGET 1> As Emergency Replacement
1931898992,2.0,6.0,7.0,4.0,5.0,1.0,2.6457513110645907,"But painting all the people who work on the show with the same brush is basically harassing people who are also victims in this. The situation is already shit. Judgement for anyone but -JOHN DOE- is messy and honestly, not your place."
1627529673,3.0,7.0,8.0,4.0,5.0,1.0,2.6457513110645907,"There were so many allegations made against -JOHN DOE- and solid evidence to support it, including voice recordings. So far there is no evidence against <OTHER TARGET 2>, so you really cant compare the two."
-168433012,2.0,5.0,7.0,3.0,5.0,2.0,2.516611478423583,These stories abt <OTHER TARGET 2> and -JOHN DOE- where everyone knew about their behavior but nobody said anything...just imagine (cont)
259806042,2.0,5.0,7.0,3.0,5.0,2.0,2.516611478423583,These stories abt -JOHN DOE- and <OTHER TARGET 1> where everyone knew about their behavior but nobody said anything...just imagine (cont)
-2095232212,2.0,2.0,6.0,0.0,4.0,4.0,2.3094010767585034,Taking bets on how fast -JOHN DOE-’s attorneys will ask to reschedule the hearing or to issue another gag order because all this media attention deprived him of his right to a fair trial
1869847654,1.0,5.0,5.0,4.0,4.0,0.0,2.3094010767585034,-JOHN DOE- getting caught up too?! Not Ari Gold b pleaseee
-1496069875,3.0,7.0,7.0,4.0,4.0,0.0,2.309401076758503,-JOHN DOE- is trying to admit to everything but being a pedophile in his statement.
-491644690,1.0,2.0,5.0,1.0,4.0,3.0,2.081665999466133,"If #-JOHN DOE- behaved the way #<OTHER TARGET 2>ChildMolester and @realDonaldTrump have, he’d be running “For Your Oscar Consideration” ads in Variety right now. So an imperfect and unsatisfying “apology” from Louis, but better than nothing at all. #Resist"
-703311549,1.0,5.0,4.0,4.0,3.0,1.0,2.081665999466133,"And had the <OTHER TARGET 2> scandal not happened, most people still wouldn't know. #HollywoodPriorities #-JOHN DOE-"
-2123914151,2.0,3.0,6.0,1.0,4.0,3.0,2.081665999466133,BREAKING: <OTHER TARGET 2> Dropping Out Of Alabama Senate Race; State GOP Leaders Pick -JOHN DOE- As Emergency Replacement
-250382277,2.0,6.0,5.0,4.0,3.0,1.0,2.0816659994661326,After reading about -JOHN DOE- on RUSH HOUR 2 set you just know his biggest concern over losing the Hefner biopic is access to all the extras
203566645,3.0,4.0,7.0,1.0,4.0,3.0,2.0816659994661326,"My fave ""hot take"" on all this is the anon person in the Buzzfeed piece who seems to think it's guys like -JOHN DOE- who are the true victims. For facing consequences after like 10 years."
1469069630,3.0,6.0,7.0,3.0,4.0,1.0,2.0816659994661326,"This is not two friends out getting drinks or on a date, this is at work and you’re a senior editor at journalism company. And you’re -JOHN DOE-...let’s be honest the dude looks like a hairy Quasimodo."
2126260345,4.0,7.0,8.0,3.0,4.0,1.0,2.0816659994661326,"I can't believe that -JOHN DOE- abused of them. I can't believe he made their work a nightmare. I'm so sorry for Danneel, Sophia, Hilarie, Shantel, Joy, I'm with all of you. I love you."
1330124130,4.0,3.0,7.0,1.0,3.0,4.0,2.0816659994661326,"So, why won't Netflix end it's contract with -JOHN DOE-? They've ended ties with <OTHER TARGET 3> and <OTHER TARGET 1>..."
-1827187303,2.0,5.0,6.0,3.0,4.0,1.0,2.0816659994661326,"yeah ummm....if Crews didn't explicitly consent to -JOHN DOE- grabbing his junk, then he can't grab his junk. That's kinda how it works."
-1588474086,2.0,4.0,6.0,2.0,4.0,2.0,2.0,But other than the Fierce Five showing support for McKayla online (except one member) very few showed support for victims of -JOHN DOE- or spoken out against USAG
