,Negin,Xiaoyan,Sanjna,Negin-Sanjna-diff,Negin-Xiaoyan-diff,Xiaoyan-Sanjna-diff,rowwise_std,text
1186450930,7.0,2.0,7.0,0.0,5.0,5.0,2.8867513459481287,"I mean, ""Sex Crimes Are Especially Heinous (tm)"" but with Olivia Munn's reputation for not taking shit, -JOHN DOE- ALSO gets a dumbass award."
1953941146,7.0,7.0,3.0,4.0,0.0,4.0,2.309401076758503,"Yeah, because we aren't about to elect -JOHN DOE- to the US Senate. #<OTHER TARGET 2>ChildMolestor"
1037976704,5.0,4.0,8.0,3.0,1.0,4.0,2.0816659994661326,"Send this movie, Woody Allen, and -JOHN DOE- to hell"
1844046106,7.0,3.0,4.0,3.0,4.0,1.0,2.0816659994661326,Why does this always come up? Let's review: Dem Anthony <OTHER TARGET 1> is now a convicted sex offender and in jail. -JOHN DOE- is about to be elected to the senate. Alleged assaulter Trump is elected to the highest office in the land.
32078281,5.0,2.0,6.0,1.0,3.0,4.0,2.0816659994661326,Why am I not surprised that -JOHN DOE- turns out to be a harasser? He brought self-aggrandizement to a whole new level.
-1844515997,4.0,6.0,8.0,4.0,2.0,2.0,2.0,-JOHN DOE- retire bitch
-73311537,6.0,2.0,4.0,2.0,4.0,2.0,2.0,Crazy the amount of actors being accused of sexual harassment now -JOHN DOE-
-376220036,4.0,4.0,7.0,3.0,0.0,3.0,1.7320508075688772,"Wow, just caught up on the -JOHN DOE- news. Honestly sickened. Hopefully Nick keeps the show running to support the crew members. Yes"
1235282081,5.0,2.0,2.0,3.0,3.0,0.0,1.7320508075688772,-JOHN DOE- was accused of sexual assult #ItWasASurpriseToMe
-1390615828,4.0,4.0,7.0,3.0,0.0,3.0,1.7320508075688772,Oh god no -JOHN DOE- is a diddler
-663528140,3.0,2.0,5.0,2.0,1.0,3.0,1.5275252316519465,"Bear in mind that for every -JOHN DOE- or <OTHER TARGET 2>, there's a hundred men in lesser roles who still think they can get away with anything."
1066025118,5.0,6.0,8.0,3.0,1.0,2.0,1.5275252316519465,"Weinberg, <OTHER TARGET 1>, <OTHER TARGET 2>, -JOHN DOE-....I see a pattern here that links these perverts. Time to change Hollywood and the media."
1392413221,5.0,7.0,8.0,3.0,2.0,1.0,1.5275252316519465,Nah guys you can't really separate the film from the filmmaker-how can you watch any -JOHN DOE- film again w/o throwing up in your mouth
-188045715,4.0,6.0,7.0,3.0,2.0,1.0,1.5275252316519465,#-JOHN DOE- #<OTHER TARGET 2> I saw this landslide coming. I was in this biz as a kid. It was gross. I foresaw the ice burg from the tip and I'm not happy that I was correct just hopeful that we are approaching a new dawn for all to thrive and move forward.
-344929643,3.0,2.0,5.0,2.0,1.0,3.0,1.5275252316519465,"Bear in mind that for every <OTHER TARGET 1> or -JOHN DOE-, there's a hundred men in lesser roles who still think they can get away with anything."
1494116058,3.0,2.0,5.0,2.0,1.0,3.0,1.5275252316519465,"Are people seriously surprised about -JOHN DOE- pmsl? Fuck me man, it was common knowledge when he was taking people to the 'blood bank'. That was before he went all Russian fat weird."
994734011,4.0,6.0,7.0,3.0,2.0,1.0,1.5275252316519465,#<OTHER TARGET 1> #-JOHN DOE- I saw this landslide coming. I was in this biz as a kid. It was gross. I foresaw the ice burg from the tip and I'm not happy that I was correct just hopeful that we are approaching a new dawn for all to thrive and move forward.
-1000711384,7.0,6.0,9.0,2.0,1.0,3.0,1.5275252316519465,"Hey @Amazon; are you going to fire -JOHN DOE- and cancel or suspend Transparent? If we're now supposed to hold gay male actors to a higher standard, the same has to apply to straight male actors too. URL"
