,Joe,Nour,Jillian,joe-nour-diff,joe-jillian-diff,jillian-nour-diff,text
-2082971218,7.0,8.0,4.0,1.0,3.0,4.0,"LCK, -JOHN DOE-, <OTHER TARGET 1>, <OTHER TARGET 3>, Fallon, keep em coming girls we will crush them all URL"
-2055131915,4.0,5.0,7.0,1.0,3.0,2.0,"Now -JOHN DOE-?!? I swear if Denzel Washington or Tom Hanks come up in any of these sexual misconduct talks, I'm burning Hollywood down!"
-2036752958,8.0,9.0,7.0,1.0,1.0,2.0,Men are so disappointing. I loved <OTHER TARGET 2> and -JOHN DOE- and now in my eyes they’re trash.
-2022948690,3.0,1.0,2.0,2.0,1.0,1.0,"Charlie Sheen, Dan Schneider, Woody Allen, Roman Polanski, <OTHER TARGET 2>, and -JOHN DOE-."
-1980256519,7.0,8.0,6.0,1.0,1.0,2.0,Oh. That's fine. I can hate -JOHN DOE- too.
-1974287554,2.0,4.0,3.0,2.0,1.0,1.0,"What channel are you watching @billmaher @CNN Lets begin with Clinton, <OTHER TARGET 2>, Menendez, <OTHER TARGET 3>, Moore, -JOHN DOE-... get a grip on yourself Maher. #WakeUp"
-1934490561,8.0,8.0,8.0,0.0,0.0,0.0,im lit in shock about this -JOHN DOE- stuff. CC's music has always meant so much to me. it's terrifying how well evil can be hidden
-1931179746,6.0,5.0,3.0,1.0,3.0,2.0,"If women are speaking up 20 years later about -JOHN DOE-, think of what's happening right now? Right, @<OTHER TARGET 2> @amazon?"
-1899720315,4.0,4.0,3.0,0.0,1.0,1.0,At least no women are coming out about Tyler Perry. Phew. -JOHN DOE-/<OTHER TARGET 3>/<OTHER TARGET 1> #handsonguys
-1886590065,8.0,8.0,7.0,0.0,1.0,1.0,"The culture that must exist in order for these predators to thrive - predators like <OTHER TARGET 1>, -JOHN DOE-, and <OTHER TARGET 3> - make it unimaginably difficult for victims to speak up."
-1885778670,6.0,7.0,7.0,1.0,1.0,0.0,<OTHER TARGET 2> being accused of sexual assault is about as surprising as -JOHN DOE- coming out as gay (which I honestly thought was an already established fact before he tried to use it as an excuse for sexually assaulting a 14 y/o boy).
-1854797921,7.0,8.0,5.0,1.0,2.0,3.0,It's a good day to have always hated -JOHN DOE- and to have never been a <OTHER TARGET 1> fan.
-1803555452,7.0,7.0,6.0,0.0,1.0,1.0,There's a -JOHN DOE- film on at the barber I am waiting in. Trying to work out why @JadeEwen's character would want to sleep with -JOHN DOE-'s. It's one of those icky scenes made worse by reality of who this man is.
-1802398865,10.0,10.0,9.0,0.0,1.0,1.0,"Also, #-JOHN DOE- is a sick pervert. I do not find him funny, and like #<OTHER TARGET 2>(less), I think both men should be in mental hospital institutions with max security, and heavily medicated. Like @realDonaldTrump, they're #UnfitForSociety at large."
-1798393453,4.0,6.0,7.0,2.0,3.0,1.0,I think a culture that would allow -JOHN DOE- to thrive is definitely NOT a feminist environment. His behavior was an open secret.
-1766291029,1.0,3.0,3.0,2.0,2.0,0.0,"Excellent work on -JOHN DOE- story, Bente. You broke this, yes?"
-1706764343,7.0,5.0,5.0,2.0,2.0,0.0,Damn -JOHN DOE- too wtf.
-1686289696,5.0,6.0,7.0,1.0,2.0,1.0,<OTHER TARGET 2> and -JOHN DOE-—I hate this world OKAY
-1673599639,2.0,4.0,3.0,2.0,1.0,1.0,"What channel are you watching @billmaher @CNN Lets begin with Clinton, -JOHN DOE-, Menendez, <OTHER TARGET 3>, Moore, <OTHER TARGET 1>... get a grip on yourself Maher. #WakeUp"
-1659004889,4.0,5.0,5.0,1.0,1.0,0.0,"I'd been wondering when we'd get around to dudes in comics, and fully expected it to begin with -JOHN DOE-. But he's not alone..."
-1599479543,7.0,8.0,6.0,1.0,1.0,2.0,"Whataboutism infects our side too? -JOHN DOE- is a predator, regardless of who else might be."
-1569821964,5.0,7.0,5.0,2.0,0.0,2.0,It's a good day to have always hated <OTHER TARGET 2> and to have never been a -JOHN DOE- fan.
-1566461060,2.0,4.0,2.0,2.0,0.0,2.0,"I'm a Matt Damon fan, can't even believe he was friends w -JOHN DOE- they're opposites!"
-1550360165,7.0,7.0,7.0,0.0,0.0,0.0,-JOHN DOE- jerking off into a shrimp cocktail was NOT the first thing I should have read about this morning. *heave*
-1547060031,5.0,4.0,6.0,1.0,1.0,2.0,I believe there was definite proof of misdoing with -JOHN DOE-.....there is only alleged alligations with moore.....smh
-1540964776,5.0,7.0,6.0,2.0,1.0,1.0,truly sorry to hear about what so many writers have had to go through under -JOHN DOE-. I hope things will improve. #TheFlash
-1519903655,5.0,4.0,3.0,1.0,2.0,1.0,**-JOHN DOE- accuses Trump of being a sexual assaulter after Trump declares April “Sexual Assault Awarness Month”** *7 months later* **Allegations of -JOHN DOE- groping a man surface** URL
-1504541287,6.0,8.0,7.0,2.0,1.0,1.0,fuck -JOHN DOE- the fanook!
-1256208532,3.0,1.0,2.0,2.0,1.0,1.0,"Charlie Sheen, Dan Schneider, Woody Allen, Roman Polanski, -JOHN DOE-, and <OTHER TARGET 1>."
-1243518566,5.0,7.0,6.0,2.0,1.0,1.0,"you could argue that that’s all -JOHN DOE- thought he was doing too, but we both know it was way worse than that. nick also has a long standing reputation for soliciting nudes from minors"
-1230152804,6.0,5.0,4.0,1.0,2.0,1.0,"I love Björk so much, and I'm glad I already hated -JOHN DOE- movies."
-1205442563,5.0,6.0,7.0,1.0,2.0,1.0,-JOHN DOE- and <OTHER TARGET 1>—I hate this world OKAY
-1180622644,6.0,7.0,5.0,1.0,1.0,2.0,"Et tu, -JOHN DOE-? Ah jeez... Come on guys. Is it really so hard to keep our hands to ourselves? Aren't we supposed to master this by 5?"
-1168993662,4.0,3.0,4.0,1.0,0.0,1.0,"I've re-watched Stand by Me and Jaws lately and while watching both, thought to myself I really really hope no stories come out about -JOHN DOE- 😔"
-1166697385,7.0,6.0,7.0,1.0,0.0,1.0,"See also -JOHN DOE-, actively working with Netflix (the same people who cut ties to <OTHER TARGET 2>) in spite of multiple rape accusations."
-1155189376,3.0,6.0,3.0,3.0,0.0,3.0,"See also <OTHER TARGET 1>, actively working with Netflix (the same people who cut ties to -JOHN DOE-) in spite of multiple rape accusations."
-1133790795,9.0,8.0,7.0,1.0,2.0,1.0,"--watching New Day now❤ -- your thoughts on NYTimes article on -JOHN DOE-? Such ugly, disgusting behavior 😝"
-1124037268,3.0,6.0,4.0,3.0,1.0,2.0,"Between <OTHER TARGET 1>, <OTHER TARGET 3> and now -JOHN DOE-, The Romanoffs just became the biggest lost cause in television history."
-1098690481,2.0,,3.0,,1.0,,"-JOHN DOE- avi looking like he's behind bars already, haha #badpersuasion URL"
-1097526352,6.0,8.0,7.0,2.0,1.0,1.0,Hey when I was 15 someone from a semi-relevant record label attempted to catfish me by committing identity theft of someone else in the music scene and he did all the shit to me that -JOHN DOE- did to those other women. It’s called “child grooming” and it’s fucked.
-1081335688,5.0,6.0,5.0,1.0,0.0,1.0,When did pulling out your “junk” become a go-to move? Does The Juilliard School teach a course on Hypnotic Penis Tricks #<OTHER TARGET 3> #-JOHN DOE- #KevinSpacy #<OTHER TARGET 1> #hollywoodscandal URL
-1050717824,7.0,8.0,4.0,1.0,3.0,4.0,"LCK, <OTHER TARGET 2>, <OTHER TARGET 1>, -JOHN DOE-, Fallon, keep em coming girls we will crush them all URL"
-1007885687,5.0,7.0,4.0,2.0,1.0,3.0,"-JOHN DOE- is learning that lesson today too. A year ago he posts scathing tweet calling POTUS a ""disgusting pig"", now he's accused of being a disgusting pig. Life comes at you fast."
-996622341,8.0,9.0,8.0,1.0,0.0,1.0,"-JOHN DOE-’s behavior is unacceptable, and he must resign immediately. No one should be made to feel unsafe by unwanted sexual advances, period. #copolitics"
-971275443,4.0,2.0,4.0,2.0,0.0,2.0,Why is Netflix still going ahead with -JOHN DOE- series without further investigation of rape charges? Scientology pressure?
-970462430,9.0,8.0,7.0,1.0,2.0,1.0,ok got it i once called charlie sheen and -JOHN DOE- « my man » but it seems like they are garbage too
-854450837,9.0,8.0,8.0,1.0,1.0,0.0,"If proven true, id not only disqualify Moore, but lock him up, as im sure youd agree. Same for <OTHER TARGET 2>, Hastert, Bill Clinton. -JOHN DOE-..."
-850864117,8.0,9.0,7.0,1.0,1.0,2.0,"Why did the lefty lion #thenation, protect a violent sexual predator like #-JOHN DOE-? URL"
-817585525,2.0,1.0,2.0,1.0,0.0,1.0,Weird @JoeNBC @morningmika How do double standards work? Is it possible HRC was blind sided too? Or did u also hear rumors of -JOHN DOE- 2? URL
-802831722,7.0,8.0,6.0,1.0,1.0,2.0,"-JOHN DOE- too, huh? Just light Hollywood on fire and start over"
-799124349,7.0,8.0,4.0,1.0,3.0,4.0,"LCK, <OTHER TARGET 2>, -JOHN DOE-, <OTHER TARGET 3>, Fallon, keep em coming girls we will crush them all URL"
-791515568,1.0,1.0,1.0,0.0,0.0,0.0,"So having been on a Twitter break this week, I gotta ask: did I miss any exposes beyond -JOHN DOE-, <OTHER TARGET 1>, and Taibbi?"
-776140582,5.0,8.0,6.0,3.0,1.0,2.0,Everyone in Hollywood knows -JOHN DOE- is an asshole . Well known fact on the set of heat his co - stars threatened an ass whooping he wasn't doing so much coke . Plus Heidi Fleiss
-761651508,7.0,7.0,6.0,0.0,1.0,1.0,"Sorry I tried to fuck that kid but, you know, shit happens. - -JOHN DOE- 2017"
-719465442,6.0,6.0,8.0,0.0,2.0,2.0,The -JOHN DOE- situation is one I can't stomach. It's not the only reason I have nothing to do with DC as a professional or as a reader. But it's a big part of it. And I'm going to lose friends by stating all this so clearly.
-704957900,3.0,6.0,4.0,3.0,1.0,2.0,"So you republicans defending -JOHN DOE- are cool with Anthony <OTHER TARGET 1> now too? Same difference, you good old Christians."
-683242467,2.0,8.0,4.0,6.0,2.0,4.0,I don't think anyone is surprised why -JOHN DOE- is in the news. How long before Bobby Lee gets arrested for indecent exposure?
-666308528,4.0,4.0,3.0,0.0,1.0,1.0,"Moore, <OTHER TARGET 2>, -JOHN DOE-, Mueller, Putin/Trump in Vietnam, the tax ""cut"" bill from the Senate...how long is it going to take to unpack, and then how much longer to start healing."
-648035211,8.0,9.0,9.0,1.0,1.0,0.0,"#-JOHN DOE- FUCK steven little man -JOHN DOE-, he's a cunt!!!"
-632748339,1.0,3.0,1.0,2.0,0.0,2.0,Nothing about -JOHN DOE- allegations in <OTHER TARGET 2> case? This will hurt Justice League in the box office results for sure
-623038971,2.0,3.0,5.0,1.0,3.0,2.0,"My favorite RS memory is when a fellow grad student asked why the few women to grace its cover were all sexualized and guest speaker -JOHN DOE- insisted that was not the case but I went online later to look and, yeah. And Victor Navasky could have pressed him on it but didn't."
-613059769,7.0,8.0,7.0,1.0,0.0,1.0,fucking -JOHN DOE-
-599216585,8.0,8.0,7.0,0.0,1.0,1.0,who else wants to help me burry -JOHN DOE-'s carreer
-561568566,3.0,6.0,4.0,3.0,1.0,2.0,"Between <OTHER TARGET 1>, -JOHN DOE- and now <OTHER TARGET 2>, The Romanoffs just became the biggest lost cause in television history."
-508739154,7.0,10.0,7.0,3.0,0.0,3.0,always got a creepy ass abuser vibe from -JOHN DOE- guess i was right 👋👋
